iso3;country;residence_type;service_type;year;uncorrected_coverage;population;service_level;coverage
BRA;Brazil;urban;Drinking water;2014;0.39273;6.831.145.597;Unimproved;0.0039273
BRA;Brazil;urban;Drinking water;2015;1.411.151;2.483.484.068.203;Basic service;0.1411151
BRA;Brazil;urban;Drinking water;2015;0.20218;35.581.278.507;Limited service;0.0020218
BRA;Brazil;urban;Drinking water;2015;8.519.312;14.993.130.040.274;Safely managed service;0.8519312
BRA;Brazil;urban;Drinking water;2015;0.17813;31.348.925.106;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2015;0.31506;55.447.727.514;Unimproved;0.0031506
BRA;Brazil;urban;Drinking water;2016;1.363.893;2.427.539.330.923;Basic service;0.1363893
BRA;Brazil;urban;Drinking water;2016;0.20234;36.012.950.337;Limited service;0.0020234
BRA;Brazil;urban;Drinking water;2016;8.574.321;1.526.110.096.417;Safely managed service;0.8574321
BRA;Brazil;urban;Drinking water;2016;0.17813;3.170.450.498;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2016;0.2374;42.253.512.205;Unimproved;0.002374
BRA;Brazil;urban;Drinking water;2017;1.336.808;2.405.699.551.431;Basic service;0.1336808
BRA;Brazil;urban;Drinking water;2017;0;0;Limited service;0
BRA;Brazil;urban;Drinking water;2017;8.629.406;1.552.935.348.937;Safely managed service;0.8629406
BRA;Brazil;urban;Drinking water;2017;0.17813;32.055.852.506;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2017;0.15973;2.874.543.653;Unimproved;0.0015973
BRA;Brazil;urban;Drinking water;2018;1.289.414;2.345.948.182.043;Basic service;0.1289414
BRA;Brazil;urban;Drinking water;2018;0;0;Limited service;0
BRA;Brazil;urban;Drinking water;2018;8.684.566;15.800.623.538.886;Safely managed service;0.8684566
BRA;Brazil;urban;Drinking water;2018;0.17813;32.408.650.716;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2018;0.08207;14.931.654.733;Unimproved;0.0008207
BRA;Brazil;urban;Drinking water;2019;1.241.945;2.283.667.285.024;Basic service;0.1241945
BRA;Brazil;urban;Drinking water;2019;0;0;Limited service;0
BRA;Brazil;urban;Drinking water;2019;8.739.802;16.070.605.316.491;Safely managed service;0.8739802
BRA;Brazil;urban;Drinking water;2019;0.17813;32.754.087.206;Surface water;0.0017813
BRA;Brazil;urban;Drinking water;2019;0.00441;810.051.383;Unimproved;0.0000441
BRA;Brazil;urban;Drinking water;2020;1.193.526;221.561.797.165;Basic service;0.1193526
BRA;Brazil;urban;Drinking water;2020;0;0;Limited service;0
BRA;Brazil;urban;Drinking water;2020;8.788.675;1.631.498.067.048;Safely managed service;0.8788675
BRA;Brazil;urban;Drinking water;2020;0.178;33.043.039.777;Surface water;0.00178
BRA;Brazil;urban;Drinking water;2020;0;0;Unimproved;0
BRA;Brazil;urban;Drinking water;2021;1.145.052;2.142.886.524.974;Basic service;0.1145052
BRA;Brazil;urban;Drinking water;2021;0;0;Limited service;0
BRA;Brazil;urban;Drinking water;2021;8.837.162;16.538.151.331.696;Safely managed service;0.8837162
